Player ID,Player,Metric,grid_values
zzzzzzz,grid,Challenges Against Att,70
zzzzzzz,grid,Challenges Against Att,80
zzzzzzz,grid,Challenges Against Att,90
zzzzzzz,grid,Challenges Against Att,101
zzzzzzz,grid,Tkl+Int,10
zzzzzzz,grid,Tkl+Int,20
zzzzzzz,grid,Tkl+Int,30
zzzzzzz,grid,Tkl+Int,40
zzzzzzz,grid,Tkl+Int,50
zzzzzzz,grid,Tkl+Int,60
zzzzzzz,grid,Tkl+Int,70
zzzzzzz,grid,Tkl+Int,80
zzzzzzz,grid,Tkl+Int,90
zzzzzzz,grid,Tkl+Int,101
zzzzzzz,grid,Tackles Def 3rd,10
zzzzzzz,grid,Tackles Def 3rd,20
zzzzzzz,grid,Tackles Def 3rd,30
zzzzzzz,grid,Tackles Def 3rd,40
zzzzzzz,grid,Tackles Def 3rd,50
zzzzzzz,grid,Tackles Def 3rd,60
zzzzzzz,grid,Tackles Def 3rd,70
zzzzzzz,grid,Tackles Def 3rd,80
zzzzzzz,grid,Tackles Def 3rd,90
zzzzzzz,grid,Tackles Def 3rd,101
zzzzzzz,grid,Blocks,10
zzzzzzz,grid,Blocks,20
zzzzzzz,grid,Blocks,30
zzzzzzz,grid,Blocks,40
zzzzzzz,grid,Blocks,50
zzzzzzz,grid,Blocks,60
zzzzzzz,grid,Blocks,70
zzzzzzz,grid,Blocks,80
zzzzzzz,grid,Blocks,90
zzzzzzz,grid,Blocks,101
zzzzzzz,grid,Clr,10
zzzzzzz,grid,Clr,20
zzzzzzz,grid,Clr,30
zzzzzzz,grid,Clr,40
zzzzzzz,grid,Clr,50
zzzzzzz,grid,Clr,60
zzzzzzz,grid,Clr,70
zzzzzzz,grid,Clr,80
zzzzzzz,grid,Clr,90
zzzzzzz,grid,Clr,101
zzzzzzz,grid,Goals_p90,10
zzzzzzz,grid,Goals_p90,20
zzzzzzz,grid,Goals_p90,30
zzzzzzz,grid,Goals_p90,40
zzzzzzz,grid,Goals_p90,50
zzzzzzz,grid,Goals_p90,60
zzzzzzz,grid,Goals_p90,70
zzzzzzz,grid,Goals_p90,80
zzzzzzz,grid,Goals_p90,90
zzzzzzz,grid,Goals_p90,101
zzzzzzz,grid,npGoals_p90,10
zzzzzzz,grid,npGoals_p90,20
zzzzzzz,grid,npGoals_p90,30
zzzzzzz,grid,npGoals_p90,40
zzzzzzz,grid,npGoals_p90,50
zzzzzzz,grid,npGoals_p90,60
zzzzzzz,grid,npGoals_p90,70
zzzzzzz,grid,npGoals_p90,80
zzzzzzz,grid,npGoals_p90,90
zzzzzzz,grid,npGoals_p90,101
zzzzzzz,grid,npxG_p90,10
zzzzzzz,grid,npxG_p90,20
zzzzzzz,grid,npxG_p90,30
zzzzzzz,grid,npxG_p90,40
zzzzzzz,grid,npxG_p90,50
zzzzzzz,grid,npxG_p90,60
zzzzzzz,grid,npxG_p90,70
zzzzzzz,grid,npxG_p90,80
zzzzzzz,grid,npxG_p90,90
zzzzzzz,grid,npxG_p90,101
zzzzzzz,grid,xG_p90,10
zzzzzzz,grid,xG_p90,20
zzzzzzz,grid,xG_p90,30
zzzzzzz,grid,xG_p90,40
zzzzzzz,grid,xG_p90,50
zzzzzzz,grid,xG_p90,60
zzzzzzz,grid,xG_p90,70
zzzzzzz,grid,xG_p90,80
zzzzzzz,grid,xG_p90,90
zzzzzzz,grid,xG_p90,101
zzzzzzz,grid,SoT_p90,10
zzzzzzz,grid,SoT_p90,20
zzzzzzz,grid,SoT_p90,30
zzzzzzz,grid,SoT_p90,40
zzzzzzz,grid,SoT_p90,50
zzzzzzz,grid,SoT_p90,60
zzzzzzz,grid,SoT_p90,70
zzzzzzz,grid,SoT_p90,80
zzzzzzz,grid,SoT_p90,90
zzzzzzz,grid,SoT_p90,101
zzzzzzz,grid,PrgCarries_p90,10
zzzzzzz,grid,PrgCarries_p90,20
zzzzzzz,grid,PrgCarries_p90,30
zzzzzzz,grid,PrgCarries_p90,40
zzzzzzz,grid,PrgCarries_p90,50
zzzzzzz,grid,PrgCarries_p90,60
zzzzzzz,grid,PrgCarries_p90,70
zzzzzzz,grid,PrgCarries_p90,80
zzzzzzz,grid,PrgCarries_p90,90
zzzzzzz,grid,PrgCarries_p90,101
zzzzzzz,grid,PrgPasses_p90,10
zzzzzzz,grid,PrgPasses_p90,20
zzzzzzz,grid,PrgPasses_p90,30
zzzzzzz,grid,PrgPasses_p90,40
zzzzzzz,grid,PrgPasses_p90,50
zzzzzzz,grid,PrgPasses_p90,60
zzzzzzz,grid,PrgPasses_p90,70
zzzzzzz,grid,PrgPasses_p90,80
zzzzzzz,grid,PrgPasses_p90,90
zzzzzzz,grid,PrgPasses_p90,101
zzzzzzz,grid,xAG_p90,10
zzzzzzz,grid,xAG_p90,20
zzzzzzz,grid,xAG_p90,30
zzzzzzz,grid,xAG_p90,40
zzzzzzz,grid,xAG_p90,50
zzzzzzz,grid,xAG_p90,60
zzzzzzz,grid,xAG_p90,70
zzzzzzz,grid,xAG_p90,80
zzzzzzz,grid,xAG_p90,90
zzzzzzz,grid,xAG_p90,101
zzzzzzz,grid,%PassesCmp,10
zzzzzzz,grid,%PassesCmp,20
zzzzzzz,grid,%PassesCmp,30
zzzzzzz,grid,%PassesCmp,40
zzzzzzz,grid,%PassesCmp,50
zzzzzzz,grid,%PassesCmp,60
zzzzzzz,grid,%PassesCmp,70
zzzzzzz,grid,%PassesCmp,80
zzzzzzz,grid,%PassesCmp,90
zzzzzzz,grid,%PassesCmp,101
zzzzzzz,grid,%TklCmp,10
zzzzzzz,grid,%TklCmp,20
zzzzzzz,grid,%TklCmp,30
zzzzzzz,grid,%TklCmp,40
zzzzzzz,grid,%TklCmp,50
zzzzzzz,grid,%TklCmp,60
zzzzzzz,grid,%TklCmp,70
zzzzzzz,grid,%TklCmp,80
zzzzzzz,grid,%TklCmp,90
zzzzzzz,grid,%TklCmp,101
zzzzzzz,grid,%Saves,10
zzzzzzz,grid,%Saves,20
zzzzzzz,grid,%Saves,30
zzzzzzz,grid,%Saves,40
zzzzzzz,grid,%Saves,50
zzzzzzz,grid,%Saves,60
zzzzzzz,grid,%Saves,70
zzzzzzz,grid,%Saves,80
zzzzzzz,grid,%Saves,90
zzzzzzz,grid,%Saves,101
zzzzzzz,grid,%CossesStopped,10
zzzzzzz,grid,%CossesStopped,20
zzzzzzz,grid,%CossesStopped,30
zzzzzzz,grid,%CossesStopped,40
zzzzzzz,grid,%CossesStopped,50
zzzzzzz,grid,%CossesStopped,60
zzzzzzz,grid,%CossesStopped,70
zzzzzzz,grid,%CossesStopped,80
zzzzzzz,grid,%CossesStopped,90
zzzzzzz,grid,%CossesStopped,101
